1.823,2.91,-0.42,0.33
1.835,2.72,-0.37,0.26
1.837,2.53,-0.31,0.2
1.839,2.34,-0.25,0.14
1.851,2.15,-0.2,0.08
1.853,1.97,-0.15,0.03
1.854,1.78,-0.09,-0.01
1.857,1.59,-0.06,-0.05
1.868,1.41,-0.04,-0.08
1.87,1.25,-0.03,-0.11
1.872,1.09,-0.01,-0.13
1.879,0.95,0,-0.14
1.882,0.82,0,-0.15
1.887,0.71,0,-0.15
1.9,0.6,0,-0.15
1.902,0.5,0,-0.14
1.903,0.4,0,-0.12
1.906,0.3,-0.01,-0.11
1.92,0.22,-0.01,-0.09
1.922,0.13,-0.02,-0.07
1.923,0.05,-0.03,-0.04
1.929,-0.03,-0.04,-0.02
1.93,-0.11,-0.04,0
1.935,-0.18,-0.06,0.02
1.941,-0.26,-0.06,0.03
1.951,-0.33,-0.07,0.05
1.953,-0.4,-0.07,0.06
1.955,-0.45,-0.07,0.07
1.973,-0.51,-0.06,0.08
1.974,-0.56,-0.05,0.09
1.986,-0.62,-0.03,0.08
1.987,-0.68,0.01,0.07
1.988,-0.74,0.05,0.05
1.989,-0.81,0.08,0.04
1.99,-0.87,0.11,0.02
1.995,-0.94,0.15,0
2,-1.02,0.18,-0.02
2.005,-1.1,0.21,-0.03
2.016,-1.19,0.23,-0.06
2.018,-1.29,0.24,-0.09
2.019,-1.39,0.26,-0.11
2.025,-1.49,0.27,-0.13
2.037,-1.59,0.28,-0.15
2.039,-1.7,0.29,-0.16
2.04,-1.8,0.3,-0.18
2.052,-1.91,0.31,-0.18
2.053,-2.02,0.3,-0.19
2.054,-2.13,0.28,-0.2
2.073,-2.25,0.27,-0.22
2.074,-2.37,0.27,-0.23
2.076,-2.51,0.27,-0.25
2.083,-2.65,0.28,-0.27
2.084,-2.79,0.28,-0.29
2.086,-2.94,0.28,-0.31
2.089,-3.09,0.28,-0.33
2.101,-3.26,0.27,-0.34
2.104,-3.42,0.27,-0.34
2.105,-3.6,0.25,-0.34
2.121,-3.78,0.22,-0.34
2.123,-3.98,0.21,-0.33
2.124,-4.18,0.24,-0.33
2.125,-4.38,0.28,-0.32
2.131,-4.58,0.33,-0.32
2.132,-4.76,0.36,-0.32
2.137,-4.91,0.38,-0.33
2.152,-5.04,0.39,-0.34
2.154,-5.15,0.4,-0.35
2.155,-5.24,0.4,-0.36
2.158,-5.31,0.38,-0.36
2.171,-5.34,0.35,-0.37
2.173,-5.35,0.33,-0.37
2.175,-5.35,0.3,-0.37
2.18,-5.31,0.26,-0.35
2.182,-5.23,0.23,-0.32
2.187,-5.1,0.21,-0.29
2.201,-4.95,0.21,-0.28
2.203,-4.78,0.22,-0.29
2.204,-4.6,0.24,-0.29
2.207,-4.42,0.26,-0.28
2.223,-4.26,0.27,-0.27
2.224,-4.1,0.28,-0.26
2.226,-3.95,0.28,-0.25
2.233,-3.81,0.26,-0.26
2.234,-3.68,0.24,-0.26
2.236,-3.56,0.21,-0.26
2.241,-3.42,0.18,-0.26
2.251,-3.28,0.16,-0.24
2.253,-3.12,0.18,-0.21
2.256,-2.96,0.2,-0.17
2.272,-2.78,0.23,-0.13
2.273,-2.58,0.27,-0.09
2.275,-2.36,0.31,-0.05
2.277,-2.12,0.34,-0.02
2.282,-1.88,0.33,0
2.286,-1.63,0.31,0.01
2.292,-1.38,0.29,0.02
2.302,-1.14,0.26,0.03
2.303,-0.92,0.21,0.05
2.304,-0.71,0.15,0.06
2.32,-0.53,0.09,0.07
2.322,-0.36,0.05,0.08
2.323,-0.21,0.03,0.09
2.325,-0.08,0.01,0.09
2.331,0.03,-0.02,0.09
2.335,0.13,-0.04,0.09
2.341,0.21,-0.06,0.09
2.352,0.28,-0.08,0.08
2.353,0.34,-0.09,0.07
2.355,0.39,-0.1,0.05
2.374,0.44,-0.1,0.03
2.376,0.48,-0.1,0.02
2.377,0.51,-0.08,0.01
2.379,0.52,-0.07,0.01
2.38,0.53,-0.05,0.01
2.385,0.53,-0.03,0.02
2.389,0.51,-0.02,0.01
2.402,0.49,0,0.02
2.403,0.46,0.01,0.02
2.405,0.43,0.01,0.02
2.409,0.39,0,0.02
2.421,0.36,0.01,0.02
2.423,0.33,0.01,0.02
2.424,0.3,0.01,0.01
2.43,0.27,0.01,0.01
2.433,0.24,0.01,0
2.438,0.21,0,0
2.453,0.18,0.01,-0.01
2.454,0.14,0,-0.01
2.455,0.1,-0.01,-0.01
2.458,0.06,-0.01,-0.01
2.472,0.03,-0.01,-0.01
2.473,0,-0.02,-0.01
2.474,-0.03,-0.02,-0.01
2.478,-0.06,-0.02,-0.01
2.483,-0.08,-0.02,-0.02
2.488,-0.09,-0.03,-0.01
2.497,-0.11,-0.02,-0.01
2.498,-0.13,-0.02,-0.01
2.502,-0.14,-0.02,-0.01
2.507,-0.14,-0.02,0
2.517,-0.15,-0.02,0
2.518,-0.14,-0.02,0
2.522,-0.14,-0.03,0
2.55,-0.13,-0.03,0.01
2.551,-0.11,-0.03,0.01
2.552,-0.1,-0.04,0.01
2.553,-0.08,-0.04,0.02
2.554,-0.05,-0.05,0.03
2.555,-0.03,-0.05,0.04
2.556,0.01,-0.05,0.05
2.568,0.06,-0.05,0.06
2.569,0.11,-0.05,0.07
2.571,0.17,-0.05,0.08
2.588,0.24,-0.05,0.08
2.59,0.31,-0.06,0.08
2.591,0.37,-0.07,0.09
2.593,0.44,-0.08,0.09
2.604,0.52,-0.09,0.09
2.605,0.59,-0.1,0.1
2.607,0.68,-0.11,0.11
2.623,0.78,-0.12,0.12
2.625,0.91,-0.15,0.12
2.626,1.05,-0.2,0.13
2.628,1.22,-0.25,0.14
2.633,1.4,-0.3,0.14
2.636,1.59,-0.36,0.14
2.639,1.81,-0.41,0.14
2.653,2.03,-0.46,0.15
2.654,2.25,-0.49,0.15
2.655,2.47,-0.51,0.16
2.675,2.69,-0.51,0.18
2.676,2.91,-0.5,0.2
2.678,3.13,-0.49,0.23
2.679,3.34,-0.48,0.26
2.68,3.54,-0.47,0.29
2.685,3.73,-0.46,0.33
2.69,3.92,-0.46,0.38
2.703,4.1,-0.47,0.43
2.704,4.27,-0.49,0.48
2.705,4.44,-0.52,0.52
2.709,4.59,-0.56,0.56
2.723,4.75,-0.6,0.6
2.725,4.89,-0.63,0.62
2.726,5.01,-0.64,0.63
2.733,5.11,-0.65,0.65
2.735,5.2,-0.65,0.67
2.739,5.27,-0.66,0.69
2.753,5.31,-0.69,0.7
2.755,5.32,-0.74,0.71
2.758,5.3,-0.79,0.72
2.76,5.26,-0.84,0.74
2.775,5.19,-0.88,0.76
2.776,5.11,-0.91,0.78
2.778,4.99,-0.9,0.78
2.779,4.85,-0.89,0.74
2.784,4.67,-0.88,0.69
2.788,4.47,-0.87,0.64
2.793,4.27,-0.84,0.57
2.805,4.07,-0.8,0.51
2.806,3.88,-0.75,0.45
2.808,3.69,-0.68,0.41
2.83,3.52,-0.61,0.36
2.832,3.35,-0.53,0.32
2.833,3.17,-0.44,0.28
2.835,2.98,-0.38,0.24
2.836,2.79,-0.33,0.2
2.838,2.59,-0.27,0.15
2.842,2.4,-0.23,0.09
2.849,2.19,-0.19,0.05
2.853,1.99,-0.15,0.01
2.857,1.78,-0.12,-0.02
2.872,1.59,-0.1,-0.04
2.873,1.4,-0.09,-0.06
2.874,1.22,-0.08,-0.08
2.899,1.05,-0.06,-0.08
2.9,0.9,-0.04,-0.09
2.902,0.75,-0.02,-0.1
2.903,0.61,0,-0.11
2.905,0.49,0.03,-0.12
2.906,0.37,0.06,-0.14
2.907,0.27,0.09,-0.15
2.922,0.18,0.11,-0.15
2.923,0.1,0.13,-0.15
2.924,0.03,0.13,-0.14
2.925,-0.03,0.12,-0.13
2.94,-0.08,0.1,-0.12
2.941,-0.14,0.06,-0.1
2.942,-0.19,0.05,-0.08
2.953,-0.25,0.03,-0.07
2.954,-0.3,0.02,-0.06
2.959,-0.36,0.01,-0.05
2.96,-0.41,0.02,-0.05
2.971,-0.46,0.03,-0.04
2.972,-0.51,0.05,-0.04
2.974,-0.57,0.06,-0.05
2.981,-0.63,0.07,-0.06
2.984,-0.68,0.09,-0.07
2.989,-0.73,0.11,-0.09
3.003,-0.77,0.14,-0.11
3.004,-0.83,0.18,-0.13
3.005,-0.89,0.21,-0.15
3.009,-0.95,0.26,-0.17
3.023,-1.02,0.29,-0.2
3.024,-1.1,0.32,-0.22
3.026,-1.18,0.35,-0.24
3.032,-1.29,0.38,-0.25
3.034,-1.4,0.42,-0.27
3.039,-1.51,0.45,-0.29
3.043,-1.63,0.48,-0.31
3.055,-1.76,0.51,-0.32
3.056,-1.88,0.53,-0.33
3.058,-2,0.54,-0.33
3.076,-2.13,0.53,-0.33
3.078,-2.26,0.5,-0.32
3.079,-2.39,0.46,-0.31
3.08,-2.54,0.42,-0.31
